"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.0.1","10.0.0.2","TCP","74","52142  >  34567 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1358909 TSecr=0 WS=512"
"2","0.153137104","10.0.0.2","10.0.0.1","TCP","74","34567  >  52142 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=1358935 TSecr=1358909 WS=512"
"3","0.217003112","10.0.0.1","10.0.0.2","TCP","1514","[TCP Previous segment not captured] 52142  >  34567 [ACK] Seq=2049 Ack=1 Win=29696 Len=1448 TSval=1358961 TSecr=1358935"
"4","0.227892905","10.0.0.1","10.0.0.2","TCP","1514","52142  >  34567 [ACK] Seq=3497 Ack=1 Win=29696 Len=1448 TSval=1358961 TSecr=1358935"
"5","0.252309893","10.0.0.1","10.0.0.2","TCP","2962","52142  >  34567 [ACK] Seq=4945 Ack=1 Win=29696 Len=2896 TSval=1358961 TSecr=1358935"
"6","0.264398602","10.0.0.1","10.0.0.2","TCP","1514","52142  >  34567 [ACK] Seq=7841 Ack=1 Win=29696 Len=1448 TSval=1358961 TSecr=1358935"
"7","0.288967248","10.0.0.1","10.0.0.2","TCP","2962","52142  >  34567 [ACK] Seq=9289 Ack=1 Win=29696 Len=2896 TSval=1358961 TSecr=1358935"
"8","0.301895780","10.0.0.1","10.0.0.2","TCP","1514","52142  >  34567 [ACK] Seq=12185 Ack=1 Win=29696 Len=1448 TSval=1358961 TSecr=1358935"
"9","0.369587229","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  52142 [ACK] Seq=1 Ack=1 Win=32256 Len=0 TSval=1358989 TSecr=1358909 SLE=2049 SRE=3497"
"10","0.382105322","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  52142 [ACK] Seq=1 Ack=1 Win=34816 Len=0 TSval=1358992 TSecr=1358909 SLE=2049 SRE=4945"
"11","0.403456828","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  52142 [ACK] Seq=1 Ack=1 Win=40960 Len=0 TSval=1358998 TSecr=1358909 SLE=2049 SRE=7841"
"12","0.415023527","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  52142 [ACK] Seq=1 Ack=1 Win=43520 Len=0 TSval=1359001 TSecr=1358909 SLE=2049 SRE=9289"
"13","0.432836751","10.0.0.1","10.0.0.2","TCP","1514","52142  >  34567 [ACK] Seq=13633 Ack=1 Win=29696 Len=1448 TSval=1359015 TSecr=1358989"
"14","0.445682895","10.0.0.1","10.0.0.2","TCP","1514","[TCP Out-Of-Order] 52142  >  34567 [ACK] Seq=1 Ack=1 Win=29696 Len=1448 TSval=1359018 TSecr=1358992"
"15","0.445679939","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  52142 [ACK] Seq=1 Ack=1 Win=49664 Len=0 TSval=1359007 TSecr=1358909 SLE=2049 SRE=12185"
"16","0.455315212","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  52142 [ACK] Seq=1 Ack=1 Win=52224 Len=0 TSval=1359010 TSecr=1358909 SLE=2049 SRE=13633"
